log,iac_category,fault_category
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [vault-server-01]",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [gitlab-runner-02]",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [jenkins-agent-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [kube-node-staging-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Load host-specific vars file] ******************************************************
ok: [kube-node-staging-01]

TASK [Validate IP block range] ******************************************************
changed: [kube-node-staging-01]
TASK [Set file ownership] ******************************************************
fatal: [kube-node-staging-01]: FAILED! => {""changed"": false, ""msg"": ""Expected a valid CIDR string for key 'network_cidr'; received: 'ldap_bind_dn'"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""fluentd"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Write prometheus scrape config] ******************************************************
ok: [app-k3s-worker-05]

TASK [Reload alertmanager] ******************************************************
ok: [app-k3s-worker-05]
ERROR! YAML anchor '&api_endpoint' referenced before definition in template roles/db/templates/my.cnf.j2

The error appears to be in 'playbooks/bootstrap-cluster.yml': line 203, column 12",Configuration Data,Variable Misreference
"TASK [Synchronise NTP] ******************************************************
ok: [kube-node-prod-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [ingress-traefik-prod]",SUCCESS,NONE
"TASK [Validate notify handler name] ******************************************************
ok: [ingress-traefik-prod]
ERROR! Handler 'traefik' referenced in notify but no matching handler defined in play

The error appears to be in 'roles/common/handlers/main.yml': line 100, column 11",Syntax,Typos
"TASK [Load role-specific variables] ******************************************************
ok: [db-mysql-replica-02]",SUCCESS,NONE
"TASK [Reload service] ******************************************************
ok: [api-gateway-node-02]
ERROR! Template rendering failed: recursive variable reference detected at 'db_password'

The error appears to be in 'roles/monitoring/tasks/metrics.yml': line 49, column 4",Configuration Data,Variable Misreference
"TASK [Evaluate module argument spec] ******************************************************
ok: [ci-runner-build-01]
ERROR! Unsupported parameter for module 'ansible.posix.sysctl': 'registry_url'. Supported params: name, state, enabled",Syntax,Typos
"TASK [Flush pending handlers] ******************************************************
ok: [lb-internal-mesh] => {""changed"": false}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [ingress-traefik-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [bastion-host-prod]",SUCCESS,NONE
"TASK [Skip unreachable hosts] ******************************************************
changed: [ingress-traefik-prod]
ERROR! all_hosts_matching pattern evaluated to empty set; no tasks will execute",Conditional,Incorrect Detection/Analysis of User Input
"TASK [Verify cluster quorum] ******************************************************
ok: [db-mysql-replica-02]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [web-node-03]",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Load module] ******************************************************
ok: [web-node-03]
ERROR! ImportError: cannot import name 'db_password' from 'docker-py'; installed version may be incompatible

The error appears to be in 'roles/common/handlers/main.yml': line 278, column 9",Dependency,Dependency-related Faults
"TASK [Create tmpfs mount] ******************************************************
changed: [web-frontend-us-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload alertmanager] ******************************************************
changed: [web-frontend-us-01]
ERROR! YAML anchor '&pull_secret' referenced before definition in template roles/db/templates/pg_hba.conf.j2

The error appears to be in 'roles/storage/tasks/volumes.yml': line 27, column 1",Configuration Data,Variable Misreference
"TASK [Ensure log directory exists] ******************************************************
ok: [storage-block-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [web-node-01]",SUCCESS,NONE
"TASK [Activate socket] ******************************************************
changed: [db-postgres-primary]
TASK [Register node in inventory] ******************************************************
fatal: [db-postgres-primary]: FAILED! => {""changed"": false, ""msg"": ""Command returned non-zero: rc=255; stderr: activation request refused"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""redis"", ""state"": ""started""}}}",Service,Incorrect Detection/Analysis of User Input
"TASK [Deploy SSL certificate] ******************************************************
changed: [db-srv-replica-02]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [ingress-traefik-prod]",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [app-k3s-worker-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [web-frontend-us-01]",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
ok: [storage-nfs-srv]

TASK [Validate group membership] ******************************************************
changed: [storage-nfs-srv]
ERROR! No hosts matched pattern 'max_heap_size' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Write environment variables] ******************************************************
changed: [api-gateway-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate loop variable binding] ******************************************************
ok: [kube-node-prod-02]
ERROR! loop variable 'vault_addr' shadows an existing variable; behaviour undefined under free strategy

The error appears to be in 'roles/storage/tasks/volumes.yml': line 100, column 7",Syntax,Incorrect Task Iteration Logic
"TASK [Render Jinja2 template] ******************************************************
ok: [db-srv-replica-02]

TASK [Write config to target] ******************************************************
ok: [db-srv-replica-02]
ERROR! AnsibleUndefinedVariable: 'namespace' is undefined — verify group_vars/host_vars",Configuration Data,Variable Misreference
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [memcache-01]",SUCCESS,NONE
"TASK [Register node in inventory] ******************************************************
changed: [monitor-alertmanager-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [vault-server-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [web-node-02]",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [storage-nas] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [ingress-traefik-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [kube-node-prod-02]",SUCCESS,NONE
